text,categories
Can you explain what comes in the box with this model?,['Product Inquiry']
I need a return label but can't find the option on the website.,['Refund Request']
The device won't sync with my computer.,['Technical Problem']
My subscription renewed without my authorization.,['Billing Issue']
I tried updating my address but it keeps reverting to the old one.,['Shipping Concern']
I can't log in after updating my email address.,['Account Access']
The instructions in the manual are missing important steps.,['Product Inquiry']
My order is late and the tracking info hasn't updated.,['Shipping Concern']
I tried canceling my subscription but it still shows active.,['Billing Issue']
The app is stuck on the loading screen.,['Technical Problem']
I have questions about customizing this product.,['Product Inquiry']
Why was my payment declined even though my card works?,['Billing Issue']
I need help resetting my password.,['Account Access']
The product I got is defective and doesn't work.,['Technical Problem']
How do I change the shipping speed on an existing order?,['Shipping Concern']
I returned an item but the refund hasn't posted yet.,['Refund Request']
I can't access my purchase history.,['Account Access']
The checkout total is higher than expected.,['Billing Issue']
My package arrived but parts were missing.,['Shipping Concern']
The app won't update to the latest version.,['Technical Problem']
I want to cancel my order but can't find the option.,['Refund Request']
How can I tell if this product will work internationally?,['Product Inquiry']
I was charged an unexpected fee after purchase.,['Billing Issue']
My account is suspended and I don't know why.,['Account Access']
I ordered the wrong item and want to change it.,['Shipping Concern']
The installation process fails every time.,['Technical Problem']
I need to update my credit card information.,['Billing Issue']
I can't track my shipment on your website.,['Shipping Concern']
The product arrived broken and missing parts.,['Shipping Concern']
My login attempts keep failing even after resetting my password.,['Account Access']
The refund I requested is showing the wrong amount.,['Refund Request']
I can't download the digital product I bought.,['Technical Problem']
I was charged for a canceled order and the package still shipped.,"['Billing Issue', 'Refund Request', 'Shipping Concern']"
The software won't install and now my account is locked.,"['Technical Problem', 'Account Access']"
I tried to reset my password but also have a billing issue to resolve.,"['Account Access', 'Billing Issue']"
The tracking info is invalid and I was charged extra fees.,"['Shipping Concern', 'Billing Issue']"
I can't log in and the app keeps crashing.,"['Account Access', 'Technical Problem']"
My shipment never arrived and I want a full refund.,"['Shipping Concern', 'Refund Request']"
I was billed twice and my order hasn't shipped yet.,"['Billing Issue', 'Shipping Concern']"
The website crashes when I try to update payment and address.,"['Technical Problem', 'Billing Issue']"
My account was suspended and my refund hasn't processed.,"['Account Access', 'Refund Request']"
I ordered express shipping but the package is delayed and damaged.,"['Shipping Concern', 'Service Complaint']"
I can't access my premium content and my subscription renewed incorrectly.,"['Account Access', 'Billing Issue']"
My payment failed but my card was charged anyway.,"['Billing Issue', 'Technical Problem']"
I returned the product but my account is locked and I can't see refund status.,"['Refund Request', 'Account Access']"
The checkout won't complete and shows the wrong total.,"['Technical Problem', 'Billing Issue']"
I never received my order and the tracking number is invalid.,"['Shipping Concern', 'Refund Request']"
My login isn't working and I was billed after cancellation.,"['Account Access', 'Billing Issue']"
The software update broke my device and now I can't log in.,"['Technical Problem', 'Account Access']"
I was charged and the app won't load properly.,"['Billing Issue', 'Technical Problem']"
I tried to cancel my subscription but it didn't work and now my account is locked.,"['Billing Issue', 'Account Access']"
The shipping estimate was wrong and the product arrived damaged.,"['Shipping Concern', 'Service Complaint']"
I can't track my shipment and also need help updating my payment method.,"['Shipping Concern', 'Billing Issue']"
I need assistance resetting my password and verifying my account.,"['Account Access', 'Technical Problem']"
The checkout page crashes and shows duplicate charges.,"['Technical Problem', 'Billing Issue']"
I want to cancel my order but the site isn't working.,"['Refund Request', 'Technical Problem']"
I ordered the wrong size and was billed twice.,"['Billing Issue', 'Refund Request']"
My account shows the wrong billing history and I can't log in.,"['Billing Issue', 'Account Access']"
The product doesn't work and I want to return it.,"['Technical Problem', 'Refund Request']"
I have questions about the product and the app won't open.,"['Product Inquiry', 'Technical Problem']"
I can't access my account and I also need a refund.,"['Account Access', 'Refund Request']"
My package is lost and I was still billed.,"['Shipping Concern', 'Billing Issue']"
I was charged extra fees and my login won't work.,"['Billing Issue', 'Account Access']"
The checkout is broken and I can't complete my order.,"['Technical Problem', 'Billing Issue']"
I want to return the defective product but my account is locked.,"['Refund Request', 'Account Access']"
I was billed twice and my order hasn't arrived.,"['Billing Issue', 'Shipping Concern']"
My subscription renewed after cancellation and I can't access my account.,"['Billing Issue', 'Account Access']"
I need help installing the software and understanding the product features.,"['Technical Problem', 'Product Inquiry']"
My credit card was charged twice for the same order.,['Billing Issue']
I can't log into my account even after resetting my password.,['Account Access']
The app keeps freezing whenever I try to open it.,['Technical Problem']
I need to return this product but can't find the return option.,['Refund Request']
Where can I see more details about the product warranty?,['Product Inquiry']
My shipment is delayed and I need an update.,['Shipping Concern']
I received a damaged item and want a replacement.,['Service Complaint']
I was billed for a subscription I didn't sign up for.,['Billing Issue']
The software won't install on my computer.,['Technical Problem']
I can't access my purchase history.,['Account Access']
I paid for express shipping but it came late.,['Shipping Concern']
My refund hasn't been processed even though you received the return.,['Refund Request']
The website won't let me update my payment information.,['Billing Issue']
I can't reset my password because I never get the email.,['Account Access']
I was charged an incorrect amount on my invoice.,['Billing Issue']
The tracking link you provided doesn't work.,['Shipping Concern']
The app update caused all my data to disappear.,['Technical Problem']
I have questions about what's included in this product package.,['Product Inquiry']
My order is showing as delivered but I haven't received it.,['Shipping Concern']
I need a refund for a duplicate charge.,['Refund Request']
The device won't connect to Wi-Fi.,['Technical Problem']
I can't log into my account on the mobile app.,['Account Access']
The checkout page displays the wrong total.,['Billing Issue']
I got the wrong item in my order.,['Shipping Concern']
My account was locked due to suspicious activity.,['Account Access']
How do I cancel my pre-order?,['Refund Request']
My payment keeps getting declined for no reason.,['Billing Issue']
The software crashes when I try to open a file.,['Technical Problem']
The package arrived but was missing accessories.,['Shipping Concern']
I forgot my username and can't log in.,['Account Access']
I need help understanding the product specifications.,['Product Inquiry']
I can't download the files I purchased.,['Technical Problem']
The billing address is wrong and I can't change it.,['Billing Issue']
I want to cancel my order but the system won't let me.,['Refund Request']
My order has been stuck in transit for over a week.,['Shipping Concern']
I was charged after canceling my subscription.,['Billing Issue']
My login credentials no longer work.,['Account Access']
The product description was misleading.,['Product Inquiry']
I got an error when trying to check out.,['Technical Problem']
How do I know if this product is compatible with my device?,['Product Inquiry']
I can't track my shipment anywhere.,['Shipping Concern']
My refund was issued but the amount is incorrect.,['Refund Request']
The software won't open after installation.,['Technical Problem']
I was charged multiple times for a single order.,['Billing Issue']
The order I received was incomplete.,['Shipping Concern']
My account is suspended and I need help reactivating it.,['Account Access']
I received the wrong product entirely.,['Shipping Concern']
My subscription renewed without any notice.,['Billing Issue']
The website shows an error when I log in.,['Technical Problem']
I'm trying to update my shipping address but it doesn't save.,['Shipping Concern']
I need to return this product because it's defective.,['Refund Request']
The tracking number says delivered but nothing arrived.,['Shipping Concern']
I can't access premium features I paid for.,['Account Access']
My invoice shows a higher price than agreed.,['Billing Issue']
The app crashes every time I log in.,['Technical Problem']
I can't cancel my order online.,['Refund Request']
I was billed for a product I didn't order.,['Billing Issue']
I can't reset my password or get help logging in.,['Account Access']
I was billed twice and the app won't load.,"['Billing Issue', 'Technical Problem']"
I can't track my order and my payment failed.,"['Shipping Concern', 'Billing Issue']"
I was charged for a subscription I can't access.,"['Billing Issue', 'Account Access']"
My login doesn't work and my shipment is missing.,"['Account Access', 'Shipping Concern']"
The checkout keeps failing and I'm being double charged.,"['Technical Problem', 'Billing Issue']"
My refund is late and I can't reach support.,"['Refund Request', 'Service Complaint']"
I was charged extra fees and the product didn't arrive.,"['Billing Issue', 'Shipping Concern']"
I can't access my account and my subscription renewed.,"['Account Access', 'Billing Issue']"
The product doesn't work and I want my money back.,"['Technical Problem', 'Refund Request']"
"I can't log in, and your app keeps crashing.","['Account Access', 'Technical Problem']"
"My order shows delivered but I didn't get it, and I was billed twice.","['Shipping Concern', 'Billing Issue']"
I can't update payment info and my account is locked.,"['Billing Issue', 'Account Access']"
I tried to cancel my subscription but was still charged.,"['Billing Issue', 'Refund Request']"
My device stopped working after the update and I can't log in.,"['Technical Problem', 'Account Access']"
I ordered the wrong item and now I can't get a refund.,"['Refund Request', 'Product Inquiry']"
I can't track my shipment and the order is delayed.,"['Shipping Concern', 'Service Complaint']"
My payment didn't go through and now my account is suspended.,"['Billing Issue', 'Account Access']"
The checkout shows an error and I can't complete my order.,"['Technical Problem', 'Billing Issue']"
I was billed incorrectly and the product doesn't work.,"['Billing Issue', 'Technical Problem']"
I can't cancel my order and the product hasn't shipped.,"['Refund Request', 'Shipping Concern']"
My account is locked and I need to update my payment method.,"['Account Access', 'Billing Issue']"
I got the wrong product and it arrived late.,"['Shipping Concern', 'Service Complaint']"
I can't download my purchase and need a refund.,"['Technical Problem', 'Refund Request']"
The website crashes when I log in and shows the wrong billing info.,"['Technical Problem', 'Billing Issue']"
I need help accessing my account and canceling my subscription.,"['Account Access', 'Billing Issue']"
My payment was declined and I can't place the order.,"['Billing Issue', 'Technical Problem']"
I was charged extra and the product was damaged.,"['Billing Issue', 'Service Complaint']"
The product I received isn't what I ordered.,"['Shipping Concern', 'Product Inquiry']"
I can't access my account after updating my email.,['Account Access']
My order arrived late and the packaging was broken.,"['Shipping Concern', 'Service Complaint']"
I tried to reset my password but the link doesn't work.,['Account Access']
I was billed but never got a confirmation email.,['Billing Issue']
I can't install the app on my device.,['Technical Problem']
I have questions about the features of this product.,['Product Inquiry']
The product was defective and I want a refund.,"['Technical Problem', 'Refund Request']"
I can't log in to my account and get an error.,"['Account Access', 'Technical Problem']"
I was charged twice and the package hasn't shipped.,"['Billing Issue', 'Shipping Concern']"
My account is locked and I can't access support.,['Account Access']
I want to cancel my order but the website won't load.,"['Refund Request', 'Technical Problem']"
"I was charged twice for my last order, and I don't know why this happened. Can you please look into this? I would like to get a refund as soon as possible.","['Billing Issue', 'Refund Request']"
"Every time I try to log in to my account, I get an error message saying my credentials are invalid. I already reset my password twice but nothing works.",['Account Access']
"My shipment has been stuck in transit for over 10 days. The tracking information hasn't updated, and I need this urgently. Can you confirm where it is?",['Shipping Concern']
"I purchased your software, but it won't install on my laptop. It keeps failing with an unknown error. Please advise how to fix this issue.",['Technical Problem']
"I ordered a product but received the wrong item in the box. The invoice shows the correct item, so something went wrong with packing. I'd like to exchange it.","['Shipping Concern', 'Service Complaint']"
Can you help me understand the differences between your standard and premium plans? I'm not sure which option is better for my needs.,['Product Inquiry']
"I canceled my subscription last month, but I just noticed that you billed me again today. Why was this charge processed?",['Billing Issue']
"I've tried to reset my password multiple times, but I never receive the reset email. Is there another way to regain access to my account?",['Account Access']
My refund still hasn't shown up in my bank account after two weeks. Can you confirm when I will see the credit?,['Refund Request']
The app crashes every time I open it. It used to work fine until the last update. Is there a workaround or a fix coming soon?,['Technical Problem']
"I ordered two items, but only one arrived. The packing slip lists both products, so I'm not sure what happened. Please advise.",['Shipping Concern']
"I can't update my payment method on your website. Every time I try, it gives me a system error. How can I complete my purchase?","['Billing Issue', 'Technical Problem']"
"I just received my order, but the product is defective. It won't power on at all. I need a replacement or refund.","['Technical Problem', 'Refund Request']"
Your site charged me for an annual subscription instead of the monthly plan I selected. I'd like this corrected immediately.,['Billing Issue']
"I'm trying to track my shipment, but the tracking number doesn't seem valid. It shows no results on the carrier's website.",['Shipping Concern']
"After the most recent update, I can't log in to the app. It just shows a blank screen. Can you help me regain access?","['Technical Problem', 'Account Access']"
I want to return this product because it's not what I expected. Where can I get a prepaid return label?,['Refund Request']
I have a question about whether this product is compatible with my existing equipment. The listing doesn't mention this detail.,['Product Inquiry']
"My account was locked due to suspicious activity, but I didn't receive any notification. How do I get it unlocked?",['Account Access']
"I received an email confirming my refund, but it's been over a week and nothing has arrived in my account. Can you check this?",['Refund Request']
The checkout page shows the wrong total amount after I enter my discount code. I think there's a problem with your system.,"['Billing Issue', 'Technical Problem']"
I was billed for a service I never used. Please explain why this charge appeared on my statement.,['Billing Issue']
"My package was marked as delivered, but I didn't receive anything. Could you please confirm where it was left?",['Shipping Concern']
I'm unable to change my shipping address in my account settings. The form just keeps reloading.,"['Shipping Concern', 'Technical Problem']"
The product arrived damaged. The box was crushed and the item doesn't work now. I need a replacement.,"['Shipping Concern', 'Service Complaint']"
"I placed an order two weeks ago, but I never got a shipping confirmation. Can you tell me if it has shipped yet?",['Shipping Concern']
The software shows an error every time I try to activate my license. I've followed all troubleshooting steps but nothing works.,['Technical Problem']
I'd like to know if your product comes with a warranty. The product page doesn't make it clear.,['Product Inquiry']
My account was charged even though my order was canceled before shipment. Can you process a refund?,"['Billing Issue', 'Refund Request']"
I'm unable to access premium features after upgrading my plan. The app still shows me as a free user.,"['Technical Problem', 'Account Access']"
"Every time I log in, I get redirected to the home page without any error message. I can't access my dashboard.","['Account Access', 'Technical Problem']"
I received the wrong size of the product I ordered. Can you help me exchange it for the correct one?,"['Shipping Concern', 'Refund Request']"
I can't download the digital content I purchased. It keeps giving me a timeout error.,['Technical Problem']
I see an extra charge on my credit card statement labeled as ‘service fee'. What is this for?,['Billing Issue']
The device I bought doesn't work as advertised. I'm very disappointed and would like to return it.,"['Product Inquiry', 'Refund Request']"
"I can't remember my username, and the recovery form doesn't recognize my email address. How do I log in?",['Account Access']
"I ordered expedited shipping, but my order still hasn't arrived after 5 days. This is unacceptable.","['Shipping Concern', 'Service Complaint']"
"I tried to cancel my subscription online, but it says there's a technical error. Can you cancel it for me?","['Billing Issue', 'Technical Problem']"
I'd like to know more about your bulk pricing options. Do you have a sales contact?,['Product Inquiry']
"I was charged twice for the same transaction, and both amounts have posted to my credit card. Please issue a refund.","['Billing Issue', 'Refund Request']"
My account was disabled without explanation. I rely on this service daily and need urgent assistance.,['Account Access']
"I received my product today, but the packaging was torn open and parts are missing. What do I do?","['Shipping Concern', 'Service Complaint']"
The system won't let me update my billing address. It just keeps showing an error.,"['Billing Issue', 'Technical Problem']"
I have questions about your return policy for products purchased during sales events.,['Product Inquiry']
The app doesn't recognize my login after I changed my password. I've tried uninstalling but it didn't help.,"['Account Access', 'Technical Problem']"
"My order is late, and the tracking page hasn't updated for over a week. I'm concerned it's lost.",['Shipping Concern']
I paid for an annual subscription but only received one month of access. Can you correct this?,"['Billing Issue', 'Account Access']"
Your website doesn't load on my computer. I've tried multiple browsers without success.,['Technical Problem']
"The product listing said it included accessories, but nothing was in the box. Can you send what's missing?","['Product Inquiry', 'Shipping Concern']"
I was billed today but canceled my subscription last week. Why did this happen?,['Billing Issue']
I keep getting an error message when I try to complete checkout. I need help placing my order.,['Technical Problem']
"My login keeps timing out, and I can't stay signed in for more than a few seconds.",['Account Access']
The product I received is a completely different model than what I ordered. This is very frustrating.,"['Shipping Concern', 'Service Complaint']"
The refund I requested hasn't appeared on my credit card after 10 business days. Please confirm the status.,['Refund Request']
I'm unable to access the product I purchased. It still says ‘pending' in my account.,"['Technical Problem', 'Account Access']"
The checkout charged me twice after I refreshed the page. Please refund the duplicate payment.,"['Billing Issue', 'Refund Request']"
"I placed an order and selected express shipping, but the confirmation email shows standard shipping. Can you fix this?",['Shipping Concern']
I need to know if your product is compatible with international voltage. There's no info on your site.,['Product Inquiry']
"I can't log into my account because it says my email doesn't exist, but I used it before.",['Account Access']
"The product description says it supports my device, but it doesn't fit. How can I return this?","['Product Inquiry', 'Refund Request']"
I was charged a renewal fee I never agreed to. I'd like this refunded immediately.,"['Billing Issue', 'Refund Request']"
"My password reset email never arrives, even after multiple attempts. What should I do?",['Account Access']
The software stopped working after I installed the update. Is there a rollback option?,['Technical Problem']
"I ordered two products, but only one was delivered and the tracking shows complete. Where's the rest?",['Shipping Concern']
I can't update my payment method and now my subscription is suspended. This is very inconvenient.,"['Billing Issue', 'Account Access']"
I was charged for an upgrade that I didn't authorize. Please remove this charge.,['Billing Issue']
"I'm trying to cancel my order, but your website keeps giving me an error message.","['Refund Request', 'Technical Problem']"
My product arrived late and was damaged inside the box. I'd like a replacement.,"['Shipping Concern', 'Service Complaint']"
"I can't log in to my account on the mobile app, but the website works fine.","['Account Access', 'Technical Problem']"
I need a refund because the product doesn't meet the description. Can you process this quickly?,"['Product Inquiry', 'Refund Request']"
"Every time I check out, I get a generic error and can't place my order.",['Technical Problem']
The invoice shows an extra fee I didn't expect. Can you clarify what it's for?,['Billing Issue']
"My account was suspended without any explanation, and I can't access anything.",['Account Access']
"I tried to track my shipment, but the carrier says the number doesn't exist. What's going on?",['Shipping Concern']
The product I ordered doesn't work properly. It freezes after a few minutes.,['Technical Problem']
I have questions about your return policy before I make a purchase. Where can I find this info?,['Product Inquiry']
"My order status shows delivered, but there's nothing at my address. Please investigate this.",['Shipping Concern']
I can't recover my password and the support link doesn't work. Can you help?,['Account Access']
I've been charged multiple times for the same subscription renewal. This needs to be fixed.,['Billing Issue']
The device doesn't power on at all. I think it's defective and need a refund.,"['Technical Problem', 'Refund Request']"
"I want to cancel my subscription, but there's no option in my account settings.","['Billing Issue', 'Refund Request']"
My order confirmation email has the wrong shipping address. How do I change it before it ships?,['Shipping Concern']
"I'm trying to upgrade my account, but the payment page keeps failing.","['Billing Issue', 'Technical Problem']"
My login credentials stopped working after I updated my profile info. Now I'm locked out.,['Account Access']
The product I ordered was missing parts and arrived two days late. This is not acceptable.,"['Shipping Concern', 'Service Complaint']"
I can't download the purchased file. The link says ‘expired' even though it's only been a day.,['Technical Problem']
I see a charge on my card from your company that I don't recognize. Can you explain this?,['Billing Issue']
I need help understanding the specs of this product before I order it.,['Product Inquiry']
"I tried to reset my password, but every time I do, it says the link is invalid.",['Account Access']
The device I bought doesn't function as described. I'm requesting a full refund.,"['Product Inquiry', 'Refund Request']"
I was billed twice for my subscription last month. Can you please correct this? I would appreciate a refund for the extra charge.,"['Billing Issue', 'Refund Request']"
My account is locked and I can't log in anymore. I tried resetting the password but didn't get an email.,['Account Access']
The product I received is missing a few accessories mentioned on your website. What can be done about this?,"['Product Inquiry', 'Shipping Concern']"
I ordered express shipping but my package still hasn't arrived after 7 days. Please update me on the delivery status.,['Shipping Concern']
The software crashes every time I try to open it. It worked fine until yesterday after the update.,['Technical Problem']
I would like to know if this product is compatible with Windows 11. The description doesn't specify.,['Product Inquiry']
"I canceled my order two days ago, but I was still charged. Please help me with the refund process.","['Billing Issue', 'Refund Request']"
My password reset link expired before I could use it. How do I get a new one?,['Account Access']
The website shows an error when I try to update my payment information. Can you assist?,"['Billing Issue', 'Technical Problem']"
I got a different product than what I ordered. The box had the correct label but the item inside is wrong.,"['Shipping Concern', 'Service Complaint']"
The app won't let me log in after the last update. It just refreshes the login screen.,"['Technical Problem', 'Account Access']"
I want to return the item I bought last week. What is your return policy?,['Refund Request']
The delivery was delayed and the package arrived damaged. I am very disappointed.,"['Shipping Concern', 'Service Complaint']"
I keep getting charged for a subscription I thought I canceled. Please stop the charges.,['Billing Issue']
How can I check if my order has shipped? The tracking number isn't working.,['Shipping Concern']
I can't download the user manual from your website. It says the file is missing.,['Technical Problem']
My account shows that my subscription is inactive even though I paid yesterday.,"['Billing Issue', 'Account Access']"
I want to upgrade my plan but the website keeps showing an error at checkout.,"['Billing Issue', 'Technical Problem']"
"The product description says it includes a charger, but mine didn't come with one.","['Product Inquiry', 'Shipping Concern']"
I tried to reset my password but never received the email. Can you send it again?,['Account Access']
There was an extra fee added to my bill that I don't understand. Can you explain?,['Billing Issue']
My package was marked delivered but I never received it. Please help.,['Shipping Concern']
The app crashes whenever I try to open my saved projects. I've lost hours of work.,['Technical Problem']
Is this product compatible with Mac OS? I need to be sure before buying.,['Product Inquiry']
I accidentally ordered the wrong item. How do I cancel or exchange it?,"['Refund Request', 'Shipping Concern']"
I was charged for a service I didn't use. Can I get a refund?,"['Billing Issue', 'Refund Request']"
The site won't accept my credit card information. Is there a workaround?,"['Billing Issue', 'Technical Problem']"
My login credentials suddenly stopped working. I didn't change anything.,['Account Access']
I received an incomplete order. One of the items was missing.,['Shipping Concern']
The product doesn't work as expected. It shuts down after a few minutes.,['Technical Problem']
I need a refund for the defective product I returned last week.,['Refund Request']
Can you confirm if this product comes with a warranty? It's not clear on your site.,['Product Inquiry']
I can't change my shipping address after placing the order. Is it too late?,['Shipping Concern']
"After upgrading, I lost access to premium features. What happened?","['Account Access', 'Technical Problem']"
I was billed for the wrong subscription plan. Please correct this.,['Billing Issue']
The tracking number isn't working on the courier's website. Where is my package?,['Shipping Concern']
My account got locked without any warning. I need it unlocked as soon as possible.,['Account Access']
I want to return a product but I can't find the return label. Can you provide it?,['Refund Request']
I can't download the digital product I purchased. The link is broken.,['Technical Problem']
I was charged twice for the same order. How can I get a refund?,"['Billing Issue', 'Refund Request']"
I'm having trouble logging in on the mobile app but the website works fine.,"['Account Access', 'Technical Problem']"
The product I received was damaged during shipping. What are my options?,"['Shipping Concern', 'Service Complaint']"
I never received a confirmation email after ordering. Did my order go through?,['Shipping Concern']
How do I update my payment method? The website keeps giving me an error.,"['Billing Issue', 'Technical Problem']"
My refund was approved but hasn't appeared in my account yet.,['Refund Request']
